stock_id,Date,Open,High,Low,Close,Volume
8,12/02/2024 16:00:00,56.04,56.84,55.7,55.79,3608487
8,13/02/2024 16:00:00,55.08,55.92,54.9,55.45,3511453
8,14/02/2024 16:00:00,56.73,58.12,56.43,57.93,5634226
8,15/02/2024 16:00:00,58.19,59.38,58.03,59.35,5220938
8,16/02/2024 16:00:00,59.7,59.7,57.75,58.4,4325689
8,20/02/2024 16:00:00,58.02,58.6,56.97,57.51,3124236
8,21/02/2024 16:00:00,57.35,57.58,56.73,57.34,2281143
8,22/02/2024 16:00:00,58.28,59.09,57.89,58.85,3526597
8,23/02/2024 16:00:00,58.64,59.24,57.98,58.36,2568852
8,26/02/2024 16:00:00,58.36,59.08,58.33,58.77,2393712
8,27/02/2024 16:00:00,59.5,60.54,59.23,60.17,4489355
8,28/02/2024 16:00:00,59.58,59.82,59,59.65,2605242
8,29/02/2024 16:00:00,60.43,60.45,59.52,60.29,3572082
8,01/03/2024 16:00:00,59.98,62.03,59.95,61.93,4270305
8,04/03/2024 16:00:00,62.16,62.44,61.51,61.58,3020306
8,05/03/2024 16:00:00,61.01,61.09,59.2,59.85,3849563
8,06/03/2024 16:00:00,60.3,60.79,59.36,59.77,2469592
8,07/03/2024 16:00:00,59.93,61.05,59.59,60.85,2742805
8,08/03/2024 16:00:00,60.83,61.61,60.08,60.48,2777243
8,11/03/2024 16:00:00,60.81,61.1,60.04,60.09,2500940
8,12/03/2024 16:00:00,60.02,61.53,59.63,61.11,2821631
8,13/03/2024 16:00:00,61.34,61.48,60.72,60.95,2192094
8,14/03/2024 16:00:00,61.5,62.08,60.74,61.3,3120452
8,15/03/2024 16:00:00,62.29,62.29,60.38,60.59,6671629
8,18/03/2024 16:00:00,61.36,62.74,61.04,61.84,3344244
8,19/03/2024 16:00:00,61.56,62.13,60.8,62.07,2142613
8,20/03/2024 16:00:00,62,62.95,61.83,62.77,2639509
8,21/03/2024 16:00:00,63.07,63.44,62.23,62.27,2507671
8,22/03/2024 16:00:00,62.42,62.91,62.1,62.8,2135688
8,25/03/2024 16:00:00,62.79,63.05,62.32,62.75,1803264
8,26/03/2024 16:00:00,62.52,63.44,61.92,62.92,2804453
8,27/03/2024 16:00:00,62.9,63.14,61.07,61.35,2628267
8,28/03/2024 16:00:00,61.5,61.5,60.16,60.73,3708803
8,01/04/2024 16:00:00,60.8,61.51,60.56,61.43,2115925
8,02/04/2024 16:00:00,61.1,61.5,60.55,61.42,2029217
8,03/04/2024 16:00:00,61.27,63.04,61.15,63.01,2931231
8,04/04/2024 16:00:00,63.32,63.8,61.66,61.71,3064349
8,05/04/2024 16:00:00,62.49,63.79,62.27,63.62,3378842
8,08/04/2024 16:00:00,63.64,63.9,62.81,62.84,2145731
8,09/04/2024 16:00:00,63.2,63.2,61.56,61.82,2146635
8,10/04/2024 16:00:00,61.1,62.01,60.93,61.86,2806248
8,11/04/2024 16:00:00,62.44,63.17,61.72,62.88,2662662
8,12/04/2024 16:00:00,62.82,63.31,61.89,62.28,2959269
8,15/04/2024 16:00:00,63.02,63.02,60.39,60.72,3085394
